Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
Waterside Lane (Dirt to Pave),Public Works,101473,District 1,06/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $31,430.11 budgeted for FY2022 construction, Hwy 331 to end of maintenance, 0.23 miles.",,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,June 2023,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,$0,,"$31,430"
Old Seagrove Beach Roadway and Stormwater Improvements,Public Works,10136,,05/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $98,702.10 budgeted for FY2022 design & permitting, north of 30A from Dogwood Street to Gardenia Street.",,,Design,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$98,702"
Chesser Road Bridge,Public Works,10099,,09/2022,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $333,965 budgeted for FY2022 construction, .67 miles east of Pleasant Ridge Road.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$333,965"
Aplin Road (Milled Asphalt Road Improvements),Public Works,11175,,03/2023,Transportation Fund,Transportation & Public Works,,,,,"East Tedder Road to Sandy Ramp Road, 2.1 miles.",Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$195,687"
Sandy Ramp Road (Milled Asphalt Road Improvements),Public Works,7882,,03/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $51,979.50 budgeted for FY2022 construction, CR 0605 to Alabama State Line, 2.87 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$51,979"
Davis Road (Milled Asphalt Road Improvements),Public Works,11246,,07/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $194,151.13 budgeted for FY2022 construction, CR 0605 to end of maintenance, 2.36 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$194,151"
George Montgomery Road (Paving),Public Works,18593,District 2,01/2026,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $480,237.63 budgeted for FY2022 construction, end of pavement to CR 183S, 1.04 miles.",Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,June 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,"$480,238",$0,,$0
Sherwood Road (Milled Asphalt Road Improvements),Public Works,7888,,02/2024,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $80,317.59 budgeted for FY2022 construction, end of pavement to Red Hill Road, 1.77 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$80,317"
Red Hill Road (Milled Asphalt Road Improvements),Public Works,9964,,10/2022,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $190,406.59 budgeted for FY2022 construction, end of pavement to Sherwood Road, 2.1 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$190,406"
Beatrice Point Road (Milled Asphalt Road Improvements),Public Works,8264,,09/2022,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $46,550.97 budgeted for FY2022 construction, Bayloop Road to end of maintenance, 0.59 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$465,550"
Red Barn Road (Milled Asphalt Road Improvements),Public Works,8267,,09/2022,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $39,534.64 budgeted for FY2022 construction, Bayloop Road to end of maintenance, 0.51 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$39,534"
